Sex	Name	Origin	Meaning	Source
F	Abichail	Hebrew	Gives joy.	source1
F	Abida	Muslim	Variant of Abida: Worshippess. Adoress..	source1
F	Abida	Muslim	Worshippess. Adoress..	source1
F	Abigail	Biblical	The father's joy	source1
F	Abigail	Hebrew	Father rejoiced, or father's joy. Gives joy. The intelligent, beautiful Abigail was Old Testament King David's third wife, described as 'good in discretion and beautiful in form.' In the 1916 play The Scornful Lady, Abigail was a lady's maid.	source1
F	Abigail	Hebrew	my father rejoices, joy of my father	source2
F	Abigale	Hebrew	my father rejoices, joy of my father	source2
F	Abigayle	Hebrew	my father rejoices, joy of my father	source2
F	Abigél	Hebrew	my father rejoices, joy of my father	source2
F	Abi	Hebrew	my father rejoices, joy of my father	source2
F	Abir	Arabic	Fragrant.	source1
F	Abir	Muslim	Fragrance..	source1
F	Abir	Muslim	Variant of Abir: Fragrance..	source1
F	Abishag	Biblical	Ignorance of the father.	source1
F	Ablah	Muslim	Perfectly formed..	source1
F	Ablah	Muslim	Variant of Ablah: Perfectly formed..	source1
F	Abra	Arabic	Lesson.	source1
F	Abra	Hebrew	Mother of many.	source1
F	Abra	Italian	Feminine of Abraham.	source1
F	Abra	Muslim	Example. Lesson..	source1
F	Abree	Italian	Feminine of Abraham.	source1
F	Abriana	Italian	Feminine of Abraham.	source1
F	Abrianna	Italian	Feminine of Abraham.	source1
F	Abrielle	Hebrew	strong man of God, hero of God; God is my hero	source2
F	Abrielle	Italian	Feminine of Abraham.	source1
F	Abrienne	Italian	Feminine of Abraham.	source1
F	Abri	Italian	Feminine of Abraham.	source1
F	Abril	English	April	source2
F	Abril	Spanish	The month April; symbolizes spring.	source1
F	Acacia	Biblical	Acacia wood was used to build the wilderness Tabernacle.	source1
F	Acacia	Greek	Guileless. Honorable. Biblical; acacia wood was used to build the wilderness Tabernacle.	source1
F	Acacia	Spanish	Honorable. In the Bible, acacia wood was used to build the wilderness Tabernacle.	source1
F	Academia	Latin	Named for Cicero's villa.	source1
F	Acantha	Greek	Sharp pointed or thorned.	source1
F	Acarnania	Latin	From Arcanania.	source1
F	Acca	Anglo-Saxon	From Acca.	source1
F	Accad	Biblical	A vessel, pitcher, spark.	source1
F	Accalia	Latin	Possibly from the Acca Larentia the shewolf who nursed the twins Remus and Romulus.	source1
F	Accho	Biblical	Close, pressed together.	source1
F	Accursia	Latin	 	source2
F	Aceldama	Biblical	Field of blood.	source1
F	Aceline	French	Noble.	source1
F	Acenath	Egyptian	Daughter. Biblical - Joseph's Egyptian wife.	source1
F	Achaia	Biblical	Grief, trouble.	source1
F	Achaicus	Biblical	A native of Achaia, sorrowing, sad.	source1
F	Acheflow	ArthurianLegend	White flower.	source1
F	Achim	Biblical	Preparing, revenging, confirming.	source1
F	Achor	Biblical	Trouble.	source1
F	Achsah	Biblical	Adorned, bursting the veil.	source1
F	Achshaph	Biblical	Poison, tricks.	source1
F	Acidalia	Latin	Named for Venus.	source1
F	Acnes	Greek	Chaste.	source1
F	Acnes	Latin	Chaste.	source1
F	Ada	African	First daughter. (Nigerian).	source1
F	Adabel	Teutonic	Lovely or happy.	source1
F	Ada	English	Wealthy. Also from the Old German Eda or Etta, meaning happy. Introduced from Germany in the late 18th century. Also a diminutive of Adela, Adelalde, or Adeline.	source1
F	Ada	French	Diminutive of Adelaide: Nobility. French form of the Old German Adalheidis, a compound of 'athal' (noble) and 'haida' (hood). Adelaide, the capital of South Australia, was named after Queen Adelaide, 19th century King William IV's consort.	source1
F	Ada	German	Diminutive of Adeline and Adela: Sweet or pleasant; of the nobility. Noble. From the Old German 'athal' meaning noble.	source1
F	Adah	African	First daughter. (Nigerian).	source1
F	Ada	Hebrew	ornamented, decorated	source2
F	Ada	Hebrew	Ornament.	source1
F	Adah	Hebrew	Beautiful. Ornament. The Old Testament wives of Lamech and Esau were named Adah. Used occasionally in English-speaking countries since the 16th century.	source1
F	Adah	Hebrew	ornamented, decorated	source2
F	Adain	Welsh	Winged.	source1
F	Adaira	Scottish	From the oak tree ford.	source1
F	Adairia	Scottish	From the oak tree ford.	source1
F	Adair	Scottish	From the oak tree ford.	source1
F	Adalbeorht	English	Noble.	source1
F	Adalberta	Old High German	Words: noble, honorable / bright	source2
F	Adalbrechta	English	Noble.	source1
F	Adalee	Old High German	Words: noble, honorable	source2
F	Adalene	French	Variant of Adela.	source1
F	Adal	German	Sweet or noble.	source1
F	Adalgisa	Old High German	Words: noble, honorable / pledge, hostage	source2
F	Adalheida	German	Sweet or noble.	source1
F	Adalia	German	Noble.	source1
F	Adaliah	Biblical	One that draws water, poverty, cloud, death.	source1
F	Adalia	Spanish	Of the nobility. Noble.	source1
F	Adalia	Teutonic	Noble.	source1
F	Adalicia	French	Of the nobility. Noble.	source1
F	Adalicia	German	Of the nobility. Noble.	source1
F	Adalie	French	Of the nobility. Noble.	source1
F	Adalie	German	Noble.	source1
F	Adalie	Teutonic	Noble.	source1
F	Adali	German	Noble.	source1
F	Adalina	Teutonic	Noble.	source1
F	Adaline	Old High German	Words: noble, honorable	source2
F	Adaline	Teutonic	Noble.	source1
F	Adaliz	French	Of the nobility. Noble.	source1
F	Adaliz	German	Of the nobility. Noble.	source1
F	Adal	Teutonic	Noble.	source1
F	Adalwolfa	German	Noble she wolf.	source1
F	Adalyn	French	Variant of Adela.	source1
F	Adalynn	Old High German	Words: noble, honorable	source2
F	Adalyn	Old High German	Words: noble, honorable	source2
F	Adamaris	Unknown	 	source2
F	Adamina	Hebrew	Feminine of Adam, meaning red, a reference to either the red skin or the red earth from which the Old Testament Adam was created (Genesis 2:7).	source1
F	Adamina	Hebrew	man	source2
F	Adamina	Latin	Of the red earth.	source1
F	Adamine	Hebrew	man	source2
F	Adana	African	Her father's daughter. (Nigerian).	source1
F	Adana	Spanish	Spanish feminine of Adam.	source1
F	Adan	Irish	Little fire.	source1
F	Adanna	African	Her father's daughter. (Nigerian).	source1
F	Adanya	African	Her father's daughter. (Nigerian).	source1
F	Adara	Arabic	Virgin.	source1
F	Adara	Greek	Beautiful.	source1
F	Adara	Hebrew	Fire.	source1
F	Adara	Irish	From the ford at the oak tree.	source1
F	Adara	Muslim	Virgin..	source1
F	Adara	Unknown	 	source2
F	Adara	Welsh	Catches birds.	source1
F	Adar	Hebrew	Fire.	source1
F	Ada	Teutonic	Happy.	source1
F	Adda	English	Wealthy.	source1
F	Addeva	Muslim	Variant of Adiva: Pleasant. Gentle..	source1
F	Addfwyn	Welsh	Meek.	source1
F	Addi	Biblical	My witness, adorned, prey	source1
F	Addie	French	Diminutive of Adelaide: Nobility. French form of the Old German Adalheidis, a compound of 'athal' (noble) and 'haida' (hood). Adelaide, the capital of South Australia, was named after Queen Adelaide, 19th century King William IV's consort.	source1
F	Addie	German	Diminutive of Adeline and Adela: Sweet or pleasant; of the nobility. Noble. From the Old German 'athal' meaning noble.	source1
F	Addiena	Welsh	Beautiful.	source1
F	Addien	Welsh	Beautiful.	source1
F	Addie	Old High German	of a noble kind	source2
F	Addilynn	Old High German	Words: noble, honorable	source2
F	Addilyn	Old High German	Words: noble, honorable	source2
F	Addin	Biblical	Adorned; delicious; voluptuous	source1
F	Addison	English	son of Adam	source2
F	Addisyn	English	son of Adam	source2
F	Addolorata	Latin	Words: pain	source2
F	Addy	French	Diminutive of Adelaide: Nobility. French form of the Old German Adalheidis, a compound of 'athal' (noble) and 'haida' (hood). Adelaide, the capital of South Australia, was named after Queen Adelaide, 19th century King William IV's consort.	source1
F	Addy	German	Diminutive of Adeline and Adela: Sweet or pleasant; of the nobility. Noble. From the Old German 'athal' meaning noble.	source1
F	Addyson	English	son of Adam	source2
F	Ade	ArthurianLegend	A mistress of Lancelot.	source1
F	Ade!a	Teutonic	Noble.	source1
F	Adeeba	Muslim	Variant of Adiba: Literary woman. Authoress. Cultured. Polite..	source1
F	Adeelah	Muslim	Variant of Adila: Just. Honest. Equal..	source1
F	Adeele	Old High German	Words: noble, honorable	source2
F	Adeen	Irish	Little fire.	source1
F	Adela	French	Good humor.	source1
F	Adela	German	Pleasant; Of the nobility. Noble. From the Old German 'athal' meaning noble. Famous bearer: Adela was the name of one of British King William I's daughters.	source1
F	Adelaide	French	Nobility. French form of the Old German Adalheidis, a compound of 'athal' (noble) and 'haida' (hood). Adelaide, the capital of South Australia, was named after Queen Adelaide, 19th century King William IV's consort.	source1
F	Adelaide	German	Sweet or noble.	source1
F	Adelaide	Old High German	of a noble kind	source2
F	Adélaïde	Old High German	of a noble kind	source2
F	Adelajda	Polish	Polish form of Adelaide. Noble.	source1
F	Adela	Latin	Of the nobility. Noble.	source1
F	Adela	Old High German	Words: noble, honorable	source2
F	Adéla	Old High German	Words: noble, honorable	source2
F	Adele	French	Good humor; Of the nobility. Noble.	source1
F	Adele	German	Variant of Adela: Pleasant; Of the nobility. Noble. From the Old German 'athal' meaning noble.	source1
F	Adelen	Old High German	Words: noble, honorable	source2
F	Adele	Old High German	Words: noble, honorable	source2
F	Adèle	Old High German	Words: noble, honorable	source2
F	Adelgunde	Old High German	Words: noble, honorable / fight	source2
F	Adelgund	Old High German	Words: noble, honorable / fight	source2
F	Adelheide	German	Sweet or noble.	source1
F	Adelheid	German	Sweet or noble.	source1
F	Adelheid	Old High German	of a noble kind	source2
F	Adelhelma	Old High German	Words: noble, honorable / helmet, protection	source2
F	Adelia	French	Of the nobility. Noble.	source1
F	Adelia	Old High German	Words: noble, honorable	source2
F	Adelicia	Teutonic	Noble.	source1
F	Adelina	French	Of the nobility. Noble. Variant of Adela.	source1
F	Adelina	German	Variant of Adeline: Sweet; of the nobility. Noble. From the Old German 'athal' meaning 'noble.	source1
F	Adelina	Latin	Latinized form of Adeline from the Old German 'athal' meaning noble.	source1
F	Adelina	Old High German	Words: noble, honorable	source2
F	Adelina	Spanish	Noble or kind or winged.	source1
F	Adelina	Teutonic	Noble.	source1
F	Adelina	Unknown	 	source2
F	Adelinda	German	Sweet or noble.	source1
F	Adelinda	Old High German	Words: noble, honorable / gentle, friendly	source2
F	Adelinde	Old High German	Words: noble, honorable / gentle, friendly	source2
F	Adelind	Old High German	Words: noble, honorable / gentle, friendly	source2
F	Adeline	French	Variant of Adela.	source1
F	Adeline	German	Variant of Adela: Pleasant; Of the nobility. Noble. From the Old German 'athal' meaning noble.	source1
F	Adeline	Latin	Of the nobility. Noble.	source1
F	Adeline	Old High German	Words: noble, honorable	source2
F	Adeline	Teutonic	Noble.	source1
F	Adelisa	French	Of the nobility. Noble.	source1
F	Adelisa	German	Of the nobility. Noble.	source1
F	Adelise	French	Forerunner of Alice. Of the nobility. Noble.	source1
F	Adelita	German	Sweet or noble.	source1
F	Adelita	Spanish	Kind or winged; Of the nobility. Noble.	source1
F	Adella	Spanish	Of the nobility. Noble.	source1
F	Adelle	French	Of the nobility. Noble.	source1
F	Adelle	German	Sweet or noble.	source1
F	Adelma	Old High German	Words: noble, honorable / helmet, protection	source2
F	Adél	Old High German	Words: noble, honorable	source2
F	Adelpha	Greek	Dear sister.	source1
F	Adelphe	Greek	Dear sister.	source1
F	Adelphie	Greek	Dear sister.	source1
F	Adel	Teutonic	Noble.	source1
F	Adelya	Old High German	Words: noble, honorable	source2
F	Adelynn	French	Variant of Adela.	source1
F	Adelynn	Old High German	Words: noble, honorable	source2
F	Adelyn	Old High German	Words: noble, honorable	source2
F	Adelyte	German	Has good humor.	source1
F	Adena	Hebrew	ornamented, decorated	source2
F	Adena	Hebrew	Tender.	source1
F	Adene	German	Variant of Aline: Diminutive of Adeline, from the Old German 'athal' meaning noble.	source1
F	Adene	Hebrew	Tender.	source1
F	Adenydd	Welsh	Winged.	source1
F	Adeodata	Latin	given by God	source2
F	Adette	German	Sweet or noble.	source1
F	Adhelle	Teutonic	Lovely or happy.	source1
F	Adia	English	Wealthy.	source1
F	Adiba	Arabic	Polite.	source1
F	Adiba	Muslim	Literary woman. Authoress. Cultured. Polite..	source1
F	Adila	Arabic	Similar.	source1
F	Adilah	Muslim	Variant of Adila: Just. Honest. Equal..	source1
F	Adila	Muslim	Variant of Adila: Just. Honest. Equal..	source1
F	Adilene	French	Variant of Adela.	source1
F	Adilene	Old High German	Words: noble, honorable	source2
F	Adilynn	Old High German	Words: noble, honorable	source2
F	Adina	Biblical	Adorned; voluptuous; dainty	source1
F	Adina	Hebrew	ornamented, decorated	source2
F	Adina	Hebrew	Slender.	source1
F	Adinah	Hebrew	Slender.	source1
F	Adinam	Hebrew	Tender.	source1
F	Adin	Biblical	Adorned; voluptuous; dainty	source1
F	Adine	German	Variant of Aline: Diminutive of Adeline, from the Old German 'athal' meaning noble.	source1
F	Adine	Hebrew	ornamented, decorated	source2
F	Adine	Hebrew	Tender.	source1
F	Adiputeri	Malay	Words: first / daughter / princess	source2
F	Adi Puteri	Malay	Words: first / daughter / princess	source2
F	Adiputri	Malay	Words: first / daughter / princess	source2
F	Adi Putri	Malay	Words: first / daughter / princess	source2
F	Adira	Arabic	Strong.	source1
F	Adiriano	Hawaiian	Variant of Akiliano: From the city of Adrian.	source1
F	Adison	English	son of Adam	source2
F	Aditi	Hindi	Free.	source1
F	Aditi	Indian	Free.	source1
F	Aditi	Sanskrit	limitless	source2
F	Adiva	Arabic	Gentle.	source1
F	Adiva	Muslim	Pleasant. Gentle..	source1
F	Adley	Unknown	 	source2
F	Admatha	Biblical	A cloud of death, a mortal vapor.	source1
F	Admeta	Greek	From a tale of Hercules.	source1
F	Admina	Hebrew	Of the red earth.	source1
F	Adna	Arabic	Words: settle	source2
F	Adna	Biblical	Pleasure; delight	source1
F	Adnah	Biblical	Eternal rest.	source1
F	Adnana	Arabic	Words: settle	source2
F	Adoette	NativeAmerican	Large tree.	source1
F	Adolfa	Old High German	Words: noble, honorable / wolf	source2
F	Adolfine	Old High German	Words: noble, honorable / wolf	source2
F	Adolpha	German	Noble she wolf.	source1
F	Adolpha	Old High German	Words: noble, honorable / wolf	source2
F	Adolphine	Teutonic	Feminine form of Adolph. Noble wolf.	source1
F	Adonia	Greek	Feminine of Adonis. Beautiful lady.	source1
F	Adonia	Hebrew	lord, ruler	source2
F	Adonia	Spanish	Feminine of Adonis. Beautiful lady.	source1
F	AdoQhina	Teutonic	Feminine form of Adolph. Noble wolf.	source1
F	Adorabella	Latin	Adored beauty.	source1
F	Adorabelle	Latin	Adored beauty.	source1
F	Adoracion	Spanish	Adoration.	source1
F	Adoración	Spanish	adoration	source2
F	Adoraim	Biblical	Strength of the sea.	source1
F	Adora	Latin	Glory.	source1
F	Adoram	Biblical	Their beauty, their power.	source1
F	Adora	Spanish	adoration	source2
F	Adoree	Latin	Glory.	source1
F	Adoria	Latin	Glory.	source1
F	Adorlee	French	Adored.	source1
F	Adosinda	Gothic	Words: fight, battle / strong, powerful	source2
F	Adra	Latin	From Adria, the Adriatic sea region. Also means dark.	source1
F	Adramyttium	Biblical	The court of death.	source1
F	Adrasteia	Latin	Unyielding.	source1
F	Adrea	Latin	From Adria, the Adriatic sea region. Also means dark.	source1
F	Adreana	Italian	Dark.	source1
F	Adreanna	French	From Adria, the Adriatic sea region. Also means dark.	source1
F	Adria	Latin	From Adria, the Adriatic sea region. Also means dark.	source1
F	Adria	Latin	from Hadria	source2
F	Adriana	Italian	Dark.	source1
F	Adriana	Latin	Feminine form of Adrian, from the Latin Hadrianus meaning of Adria, or of the Adriatic. Also means dark.	source1
F	Adriana	Latin	from Hadria	source2
F	Adriana	Shakespearean	'The Comedy of Errors' Wife to Antipholus of Ephesus.	source1
F	Adriana	Spanish	Dark.	source1
F	Adriane	French	From Adria, the Adriatic sea region. Also means dark.	source1
F	Adriane	German	Dark.	source1
F	Adriane	Latin	from Hadria	source2
F	Adrian	German	Dark.	source1
F	Adrian	Latin	Dark.	source1
F	Adrian	Latin	from Hadria	source2
F	Adrianna	French	From Adria, the Adriatic sea region. Also means dark.	source1
F	Adrianna	Latin	from Hadria	source2
F	Adrianne	French	From Adria, the Adriatic sea region. Also means dark.	source1
F	Adrianne	Latin	Feminine form of Adrian, from the Latin Hadrianus meaning of Adria, or of the Adriatic. Also means dark.	source1
F	Adrianne	Latin	from Hadria	source2
F	Adrian	Swedish	Dark.	source1
F	Adrie	Dutch	From the Adriatic.	source1
F	Adrie	Latin	Of the Adriatic.	source1
F	Adrielle	Latin	From Adria, the Adriatic sea region. Also means dark.	source1
F	Adriene	French	From Adria, the Adriatic sea region. Also means dark.	source1
F	Adrienna	Latin	From Adria, the Adriatic sea region. Also means dark.	source1
F	Adrienne	French	From Adria, the Adriatic sea region. Also means dark.	source1
F	Adrienne	Latin	Feminine form of Adrian, from the Latin Hadrianus meaning of Adria, or of the Adriatic. Also means dark.	source1
F	Adrienne	Latin	from Hadria	source2
F	Adrienn	Latin	from Hadria	source2
F	Adrina	Latin	From Adria, the Adriatic sea region. Also means dark.	source1
F	Adsila	NativeAmerican	Blossom (Cherokee).	source1
F	Adullam	Biblical	Their testimony, their prey, their ornament.	source1
F	Adummim	Biblical	Earthy, red, bloody things.	source1
F	Advika	English	maybe unique	source2
F	Adya	Indian	Born on Sunday.	source1
F	Adya	Sanskrit	Words: at the beginning	source2
F	Adyna	Welsh	Wretched.	source1
F	Adyson	English	son of Adam	source2
F	Aea	Latin	From Aea.	source1
F	Aedon	Greek	Daughter of Pandareos.	source1
F	Aedre	Anglo-Saxon	Stream.	source1
F	Aefentid	Anglo-Saxon	Evening.	source1
F	Aefre	Anglo-Saxon	Forever.	source1
F	Aegaea	Latin	From the Aegean sea.	source1
F	Aegates	Latin	From the Aegates.	source1
F	Aegeria	Latin	Cumaean.	source1
F	Aegileif	Norse	Daughter of Hrolf Helgason.	source1
F	Aeginae	Latin	Mother of Aeacus.	source1
F	Aegina	Latin	Mother of Aeacus.	source1
F	Aeldra	English	Noble.	source1
F	Aelfraed	English	Elf counselor.	source1
F	Aelfthryth	English	An Old English name formed as a compound of aelf, meaning elf, and thryth, meaning strength.	source1
F	Aelfwine	English	Friend of the elves.	source1
F	Aello	Greek	A Harpy.	source1
F	Aelwyd	Welsh	From the hearth.	source1
F	Aemilia	Latin	The feminine form of the Roman clan name Aemilius.	source1
F	Aemilia	Shakespearean	'The Comedy of Errors' Wife to Aegeon, an abbess at Ephesus, and mother to the twin brothers Antipholus of Ephesus, and Antipholus of Syracuse.	source1
F	Aeneas	Scottish	Sometimes used in Scotland as a translation of the Gaelic Aonghus'.	source1
F	Aeolia	Latin	Daughter of Amythaon.	source1
F	Aerlene	Anglo-Saxon	Elfin.	source1
F	Aerwyna	English	Friend of the sea.	source1
F	Aethelflaed	Anglo-Saxon	Sister of King Edward.	source1
F	Aethelind	English	An Old English name from an Old German name meaning noble snake.	source1
F	Aethelreda	English	Noble maiden.	source1
F	Aethelthryth	Anglo-Saxon	Wife of King Ecgfrith.	source1
F	Aethelthryth	English	An Old English name from 'aethel' meaning noble and 'thryth' meaning strength.	source1
F	Aethelwine	English	Friend of the elves.	source1
F	Aethelwyne	English	Friend of the elves.	source1
F	Aethra	Greek	Mother of Theseus.	source1
F	Aetna	Greek	From Aetna.	source1
F	Afaaf	Muslim	Variant of Afaf: Chaste. Virtuous. Decent. Pure..	source1
F	Afaf	Muslim	Chaste. Virtuous. Decent. Pure..	source1
F	Afërdita	Albanian	the morning, the dawn, the morning star	source2
F	Afkica	Gaelic	Pleasant.	source1
F	Afra	Hebrew	Doe.	source1
F	Afra	Latin	Words: African	source2
F	Afra'	Muslim	Variant of Afra': White..	source1
F	Afra'	Muslim	White..	source1
F	Afreda	English	Elf counselor.	source1
F	Afreda	Muslim	Created. Produced..	source1
F	Africa	Celtic	Agreeable.	source1
F	Africa	Gaelic	Pleasant.	source1
F	Africa	Irish	Pleasant.	source1
F	África	Latin	Words: African	source2
F	Afric	Celtic	Agreeable.	source1
F	Afric	Irish	Pleasant.	source1
F	Afrida	Muslim	Variant of Afreda: Created. Produced..	source1
F	Afrodille	French	Daffodil.	source1
F	Afrodita	Old Greek	risen from the foam	source2
F	Afrodite	Old Greek	risen from the foam	source2
F	Afroze	Muslim	Illuminating. Enlightening..	source1
F	Afzaa	Muslim	Variant of Afza: Augmenting. Increasing..	source1
F	Afza	Muslim	Augmenting. Increasing..	source1
F	Agabus	Biblical	A locust, the father's joy or feast.	source1
F	Agacia	Greek	Variant of Agatha: Good. St. Agatha was a 3rd century Christian martyr. Agatha was popular during the Middle ages. Famous bearer: twentieth Century British mystery writer Agatha Christie.	source1
F	Agacia	Latin	Latinized form of the Greek Agatha, meaning good. Popular during the Middle Ages.	source1
F	Agacia	Spanish	Kind.	source1
F	Agafia	Greek	Good.	source1
F	Agafia	Russian	Russian form of Agatha. Good.	source1
F	Agalaia	Greek	Splendor.	source1
F	Agalia	Greek	Happy.	source1
F	Agape	Old Greek	love	source2
F	Agapi	Old Greek	love	source2
F	Agar	Biblical	A stranger, one that fears.	source1
F	Agata	Greek	Good.	source1
F	Agata	Irish	Kind.	source1
F	Agata	Italian	Kind.	source1
F	Agata	Old Greek	the good	source2
F	Ágata	Old Greek	the good	source2
F	Agata	Swedish	Pure.	source1
F	Agate	Greek	Good.	source1
F	Agate	Irish	Kind.	source1
F	Agatha	German	Good.	source1
F	Agatha	Greek	Good. St. Agatha was a 3rd century Christian martyr. Agatha was popular during the Middle ages. Famous bearer: twentieth Century British mystery writer Agatha Christie.	source1
F	Agatha	Latin	Good.	source1
F	Agatha	Old Greek	the good	source2
F	Ágatha	Old Greek	the good	source2
F	Agathe	French	Kind.	source1
F	Agathe	German	Good.	source1
F	Agathe	Old Greek	the good	source2
F	Agathi	Greek	Good.	source1
F	Agaton	Swedish	Pure.	source1
F	Agaue	Greek	Good.	source1
F	Agave	Greek	Mother of Pentheus. Good.	source1
F	Agda	Old Greek	the good	source2
F	Agda	Swedish	Pure.	source1
F	Agdta	Spanish	Kind.	source1
F	Aggie	Greek	Diminutive of Agnes: Poor, poor, or chaste. St. Agnes was a 3rd century Christian martyr whose January 21st feast day is described in Keats' poem 'The Eve of St Agnes'. Agnes was popular until the Reformation, then revived in the 19th century.	source1
F	Aggie	Hungarian	Hungarian form of Agatha. Kind. Good.	source1
F	Aghadreena	Irish	From the field of the sloe bushes.	source1
F	Aghamora	Irish	From the great field.	source1
F	Aghaveagh	Irish	From the field of the old tree.	source1
F	Aghavilla	Irish	From the field of the old tree.	source1
F	Aghna	Irish	Irish form of Agnes.	source1
F	Agi	Hungarian	Hungarian form of Agatha. Kind. Good.	source1
F	Aglaia	Old Greek	 	source2
F	Aglaja	Old Greek	 	source2
F	Aglauros	Greek	A woman who was turned into stone by Hermes.	source1
F	Agna	Greek	Pure.	source1
F	Agnek	Greek	Pure.	source1
F	Agnella	Greek	Pure.	source1
F	Agnella	Italian	Pure.	source1
F	Agnesa	Old Greek	the pure, the chaste	source2
F	Agnese	Greek	Pure.	source1
F	Agnese	Italian	Pure.	source1
F	Agnese	Old Greek	the pure, the chaste	source2
F	Agnese	Spanish	Spanish form of Agnes. Pure.	source1
F	Agnes	Greek	Poor, poor, or chaste. St. Agnes was a 3rd century Christian martyr whose January 21st feast day is described in Keats' poem 'The Eve of St Agnes'. Agnes was popular until the Reformation, then revived in the 19th century.	source1
F	Agnes	Old Greek	the pure, the chaste	source2
F	Agnès	Old Greek	the pure, the chaste	source2
F	Ágnes	Old Greek	the pure, the chaste	source2
F	Agnessa	Old Greek	the pure, the chaste	source2
F	Agnessa	Russian	Meek.	source1
